pool_config,gpu_mem_util,max_model_len,num_gpu_blocks,kv_capacity_seqs,batch_size,out_tokens_total,total_s,ttft_s,decode_s,throughput_out_tok_s,decode_throughput_tok_s,tpot_ms,p50_latency_s,p95_latency_s,queued,device_used_mib,repeat_idx,model,gpu_name,vllm_version,torch_version,timestamp
realistic,0.9,784,14836,309,1,256,2.9885119550162926,0.11193907901179045,2.876572876004502,85.66136052101031,88.64715444101299,11.280677945115695,nan,nan,False,11355.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:04:51+00:00
realistic,0.9,784,14836,309,1,256,2.9884502349887043,0.11060388199985027,2.877846352988854,85.66312967261696,88.60792715190088,11.285671972505309,nan,nan,False,11355.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:04:55+00:00
realistic,0.9,784,14836,309,2,512,3.873322537052445,0.21781248901970685,3.6555100480327383,132.18625485024188,139.51541462031088,14.335333521697013,nan,nan,False,11355.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:04:59+00:00
realistic,0.9,784,14836,309,2,512,3.900824162061326,0.217583151999861,3.683241010061465,131.25431414715246,138.46500910660995,14.444082392397902,nan,nan,False,11355.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:03+00:00
realistic,0.9,784,14836,309,4,1024,4.175025671022013,0.3839126559905708,3.791113015031442,245.26795298706102,269.05027519775496,14.8671098628684,nan,nan,False,11355.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:07+00:00
realistic,0.9,784,14836,309,4,1024,4.163080806029029,0.3799051899695769,3.7831756160594523,245.97168484383718,269.61476376357854,14.835982808076285,nan,nan,False,11355.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:12+00:00
realistic,0.9,784,14836,309,8,2048,4.794618037994951,0.7272096299566329,4.067408408038318,427.14560028987165,501.54786422932074,15.950621207993406,nan,nan,False,11355.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:17+00:00
realistic,0.9,784,14836,309,8,2048,4.798591530998237,0.7271388180088252,4.071452712989412,426.7919006588086,501.04966060189264,15.96648122740946,nan,nan,False,11355.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:23+00:00
realistic,0.9,784,14836,309,16,4096,5.7739226159173995,1.405628817039542,4.368293798877858,709.3964142692619,934.0031114775486,17.130563917168068,nan,nan,False,11619.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:30+00:00
realistic,0.9,784,14836,309,16,4096,5.796722720959224,1.4030152480117977,4.393707472947426,706.6061630289962,928.6007375595758,17.230225384107552,nan,nan,False,11619.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:37+00:00
realistic,0.9,784,14836,309,32,8192,8.2069572720211,2.7739165941020474,5.4330406779190525,998.177488742132,1501.9213887287551,21.306041874192363,nan,nan,False,11899.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:48+00:00
realistic,0.9,784,14836,309,32,8192,8.23186168691609,2.774559445097111,5.457302241818979,995.1576340283453,1495.2442870893992,21.401185262035213,nan,nan,False,11899.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:05:59+00:00
realistic,0.9,784,14836,309,48,12288,10.073835083050653,4.144746109028347,5.9290889740223065,1219.7936435027316,2064.39809785758,23.2513293098914,nan,nan,False,11899.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:06:13+00:00
realistic,0.9,784,14836,309,48,12288,10.075338826980442,4.146190867060795,5.929147959919646,1219.611589348672,2064.377560273581,23.25156062713587,nan,nan,False,11899.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:06:28+00:00
realistic,0.9,784,14836,309,64,16384,11.568803812959231,5.515802194015123,6.0530016189441085,1416.2224776987614,2696.1829894317584,23.73726125076121,nan,nan,False,11899.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:06:45+00:00
realistic,0.9,784,14836,309,64,16384,11.56805465288926,5.5165898099076,6.051464842981659,1416.3141938396618,2696.8676879826107,23.731234678359446,nan,nan,False,11899.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:07:02+00:00
realistic,0.9,784,14836,309,96,24576,17.64374652702827,8.257266466040164,9.386480060988106,1392.9014431460055,2608.006392272996,36.80972572936512,nan,nan,False,11899.125,0,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:07:28+00:00
realistic,0.9,784,14836,309,96,24576,17.644331699004397,8.258007127093151,9.386324571911246,1392.855247750003,2608.049595179871,36.8091159682794,nan,nan,False,11899.125,1,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.23.0,2.11.0+cu130,2026-07-01T10:07:54+00:00
